Date,Name,Year,Letterboxd URI,Rating
2018-11-10,The Miseducation of Cameron Post,2018,https://letterboxd.com/film/the-miseducation-of-cameron-post/,4
2018-11-15,(500) Days of Summer,2009,https://letterboxd.com/film/500-days-of-summer/,3
2018-11-16,School of Rock,2003,https://letterboxd.com/film/school-of-rock/,3.5
2018-12-10,C.R.A.Z.Y.,2005,https://letterboxd.com/film/crazy-2005/,5
2018-12-30,Hereditary,2018,https://letterboxd.com/film/hereditary/,4.5
2018-12-30,Stranger by the Lake,2013,https://letterboxd.com/film/stranger-by-the-lake/,3.5
2018-12-31,Center of My World,2016,https://letterboxd.com/film/center-of-my-world/,3.5
2019-01-01,Summer,2017,https://letterboxd.com/film/summer-2017/,3.5
2019-01-01,Fireworks,1947,https://letterboxd.com/film/fireworks/,3
2019-01-01,I Don't Want to Go Back Alone,2010,https://letterboxd.com/film/i-dont-want-to-go-back-alone/,4.5
2019-01-02,Black Mirror: Bandersnatch,2018,https://letterboxd.com/film/black-mirror-bandersnatch/,4
2019-01-03,The Favourite,2018,https://letterboxd.com/film/the-favourite/,5
2019-01-04,The Nightmare Before Christmas,1993,https://letterboxd.com/film/the-nightmare-before-christmas/,4
2019-01-05,Flavors of Youth,2018,https://letterboxd.com/film/flavors-of-youth/,3.5
2019-01-06,Skate Kitchen,2018,https://letterboxd.com/film/skate-kitchen/,4.5
2019-01-06,That One Day,2016,https://letterboxd.com/film/that-one-day/,4
2019-01-06,Frances Ha,2012,https://letterboxd.com/film/frances-ha/,5
2019-01-07,Beautiful Boy,2018,https://letterboxd.com/film/beautiful-boy-2018/,2.5
2019-01-07,Matilda,1996,https://letterboxd.com/film/matilda/,4
2019-01-08,To All the Boys I've Loved Before,2018,https://letterboxd.com/film/to-all-the-boys-ive-loved-before/,3.5
2019-01-09,You Were Never Really Here,2017,https://letterboxd.com/film/you-were-never-really-here/,5
2019-01-10,Thoroughbreds,2017,https://letterboxd.com/film/thoroughbreds-2017/,4
2019-01-11,Ghost in the Shell,1995,https://letterboxd.com/film/ghost-in-the-shell/,4
2019-01-12,Kill Bill: Vol. 1,2003,https://letterboxd.com/film/kill-bill-vol-1/,5
2019-01-13,A Quiet Place,2018,https://letterboxd.com/film/a-quiet-place-2018/,4.5
2019-01-14,Ready Player One,2018,https://letterboxd.com/film/ready-player-one/,3.5
2019-01-16,Boy Erased,2018,https://letterboxd.com/film/boy-erased/,4
2019-01-18,mid90s,2018,https://letterboxd.com/film/mid90s/,4
2019-01-19,Ant-Man and the Wasp,2018,https://letterboxd.com/film/ant-man-and-the-wasp/,3.5
2019-01-20,Minding the Gap,2018,https://letterboxd.com/film/minding-the-gap/,4
2019-01-20,A Star Is Born,2018,https://letterboxd.com/film/a-star-is-born-2018/,4.5
2019-01-21,Kicking and Screaming,1995,https://letterboxd.com/film/kicking-and-screaming/,3.5
2019-01-22,While We're Young,2014,https://letterboxd.com/film/while-were-young/,3.5
2019-01-23,Moonrise Kingdom,2012,https://letterboxd.com/film/moonrise-kingdom/,5
2019-01-24,Lost in Translation,2003,https://letterboxd.com/film/lost-in-translation/,4.5
2019-01-25,Nick and Norah's Infinite Playlist,2008,https://letterboxd.com/film/nick-and-norahs-infinite-playlist/,2
2019-01-26,Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/,5
2019-01-27,The Kings of Summer,2013,https://letterboxd.com/film/the-kings-of-summer/,3.5
2019-01-27,The Age of Innocence,1993,https://letterboxd.com/film/the-age-of-innocence/,5
2019-01-27,Before Sunset,2004,https://letterboxd.com/film/before-sunset/,5
2019-01-28,The Nice Guys,2016,https://letterboxd.com/film/the-nice-guys/,3
2019-01-29,Suspiria,2018,https://letterboxd.com/film/suspiria-2018/,5
2019-01-31,Before Midnight,2013,https://letterboxd.com/film/before-midnight/,5
2019-02-01,Two Weeks Notice,2002,https://letterboxd.com/film/two-weeks-notice/,3.5
2019-02-02,Velvet Buzzsaw,2019,https://letterboxd.com/film/velvet-buzzsaw/,2
2019-02-03,The Witches,1990,https://letterboxd.com/film/the-witches/,3
2019-02-03,Your Name.,2016,https://letterboxd.com/film/your-name/,5
2019-02-03,Midnight in Paris,2011,https://letterboxd.com/film/midnight-in-paris/,4
2019-02-03,Mirai,2018,https://letterboxd.com/film/mirai/,4.5
2019-02-03,Your Light: Kase-san and Morning Glories,2017,https://letterboxd.com/film/your-light-kase-san-and-morning-glories/,3
2019-02-03,Kase-san and Morning Glories,2018,https://letterboxd.com/film/kase-san-and-morning-glories/,3.5
2019-02-04,Collateral,2004,https://letterboxd.com/film/collateral/,4
2019-02-04,Me and Earl and the Dying Girl,2015,https://letterboxd.com/film/me-and-earl-and-the-dying-girl/,4.5
2019-02-05,Mistress America,2015,https://letterboxd.com/film/mistress-america/,5
